Ключевое слово,Автор,Тип,Сопровождение,Вопрос,Начальная форма,Роль,Собственное ли,Одушевлённость,Род,Склонение,Число,Падеж,Разряд,Полнота формы,Степень сравнения,Совершенность,Возвратность,Переходность,Спряжение,Наклонение,Время,Лицо,Структура,Количественное/порядковое,Действительное/страдательное,Производность,Подразряд
Забудь,С. А. Есенин,Глагол,"Так забудь же про свою тревогу, не грусти так гибко обо мне.",сделай,забыть,сказуемое.,,,,,,,,,,соверш.,невозвр.,перех.,II спр.,повелит.,,2-е лицо,,,,,
Грусти,С. А. Есенин,Глагол,"Так забудь же про свою тревогу, не грусти так гибко обо мне.",делай,грустить,сказуемое.,,,,,,,,,,несов.,невозвр.,неперех.,II спр.,повелит.,,2-е лицо,,,,,
Ходи,С. А. Есенин,Глагол,Не ходи так часто на дорогу в старомодном ветхом шушуне.,делай,ходить,сказуемое.,,,,,,,,,,несов.,невозвр.,неперех.,II спр.,повелит.,,2-е лицо,,,,,
Плачь,А. А. Блок,Глагол,"Плачь, сердце, плачь… Покоя нет.",делай,плакать,сказуемое.,,,,,,,,,,несов.,невозвр.,неперех.,II спр.,повелит.,,2-е лицо,,,,,
Езжайте,А. А. Фадеев,Глагол,"А вы езжайте, я найду, как выбраться.",делайте,"ехать,езжать",сказуемое.,,,,,мн.ч.,,,,,несов.,невозвр.,неперех.,неопр.,изъявит.,,2-е лицо,,,,,
Спи,М. Ю. Лермонтов,Глагол,"Спи, малютка, будь спокоен, баюшки-баю.",делай,спать,сказуемое.,,,,,,,,,,несов.,невозвр.,неперех.,II спр.,повелит.,,2-е лицо,,,,,
Оставь,Д. В. Веневитинов,Глагол,"Оставь меня, забудь меня!",сделай,оставить,сказуемое.,,,,,,,,,,соверш.,невозвр.,перех.,II спр.,повелит.,,2-е лицо,,,,,
Слышится,П. К. Козлов,Глагол,В кустах то и дело слышится шорох.,делает,слышаться,сказуемое.,,,ср.р.,,ед.ч.,,,,,несов.,возвр.,неперех.,II спр.,изъявит.,наст. вр.,3-е лицо,,,,,
Дай,О. Э. Мандельштам,Глагол,Дай руку мне.,сделай,дать,сказуемое.,,,,,,,,,,соверш.,невозвр.,перех.,неопр.,повелит.,,2-е лицо,,,,,
Будь,М. И. Цветаева,Глагол,Я тебе повелеваю: — будь!,делай,быть,сказуемое.,,,,,,,,,,несов.,невозвр.,неперех.,неопр.,повелит.,,2-е лицо,,,,,
Встревожит,М. Ю. Лермонтов,Глагол,"Тогда я опять появлюсь пред тобой, и речь моя ум твой встревожит, и пусть я услышу ответ роковой, тогда ничего не поможет.",сделает,встревожить,сказуемое.,,,ж.р.,,ед.ч.,,,,,соверш.,невозвр.,перех.,II спр.,изъявит.,буд. вр.,3-е лицо,,,,,
Брызжет,Саша Чёрный,Глагол,"Солнце брызжет, солнце греет.",делает,брызнуть,сказуемое.,,,ср.р.,,ед.ч.,,,,,несов.,невозвр.,неперех.,II спр.,изъявит.,наст. вр.,3-е лицо,,,,,
Таят,И. Ф. Анненский,Глагол,"Ещё не царствует река, но синий лёд она уж топит; ещё не таят облака, но снежный кубок солнцем допит.",делают,таять,сказуемое.,,,,,мн.ч.,,,,,несов.,невозвр.,перех.,I спр.,изъявит.,наст. вр.,3-е лицо,,,,,
Обвиняет,М. Ю. Лермонтов,Глагол,"Пускай поэта обвиняет насмешливый, безумный свет, никто ему не помешает, он не услышит мой ответ.",делает,обвинить,сказуемое.,,,м.р.,,ед.ч.,,,,,несов.,невозвр.,перех.,I спр.,изъявит.,наст. вр.,3-е лицо,,,,,
Раз,сказка,Числительное,"— Бежим теперь обратно, — говорит он ежихе.  — Раз, два, три!",сколько,раз,обстоятельство.,,,нет рода,,ед.ч.,И.п.,целое,,,,,,,,,,простое,количеств.,,,
Один,Морфи,Числительное,Под нудное старухино ворчанье заснуть способен был лишь он один.,сколько,один,подлежащее.,,,м.р.,,ед.ч.,И.п.,целое,,,,,,,,,,простое,количеств.,,,
Два,Морфи,Числительное,"Иллюзия понимания доставляет человеку в два раза больше проблем, чем его отсутствие.",сколько,два,определение.,,,нет рода,,,И.п.,целое,,,,,,,,,,простое,количеств.,,,
Три,Морфи,Числительное,Число три является одним из самых часто используемых в русских народных сказках.,сколько,три,подлежащее.,,,нет рода,,,И.п.,целое,,,,,,,,,,простое,количеств.,,,
Четыре,скороговорка,Числительное,"Тетрафобия — иррациональный страх перед числом четыре, распространённый в основном в странах Восточной Азии.",сколько,четыре,дополнение.,,,нет рода,,,И.п.,целое,,,,,,,,,,простое,количеств.,,,
Пять,сказка,Числительное,Опять пять ребят нашли у пенька пять опят.,сколько,пять,определение.,,,нет рода,,,И.п.,целое,,,,,,,,,,простое,количеств.,,,
Семь,поговорка,Числительное,"Семь раз отмерь, один раз отрежь.",сколько,семь,обстоятельство.,,,нет рода,,,И.п.,целое,,,,,,,,,,простое,количеств.,,,
Тринадцать,Морфи,Числительное,"Трискайдекафобия — страх перед числом тринадцать, вызванный религиозными предрассудками.",сколько,тринадцать,дополнение.,,,нет рода,,,И.п.,целое,,,,,,,,,,составное,количеств.,,,
Тринадцатого,Морфи,Числительное,Параскеведекатриафобией или фриггатрискайдекафобией называют страх перед пятницей тринадцатого.,"какогопосч,которого",тринадцать,определение.,,,ср.р.,,ед.ч.,Р.п.,,,,,,,,,,,составное,порядков.,,,
Двадцать пять,Морфи,Числительное,Всего лишь одна капля нефти делает непригодным для питья двадцать пять литров воды.,сколько,двадцатьпять,определение.,,,нет рода,,,И.п.,целое,,,,,,,,,,составное,количеств.,,,
Семьдесят три,Морфи,Числительное,Так семьдесят три раза бегал заяц туда и обратно.,сколько,семьдесяттри,обстоятельство.,,,нет рода,,,И.п.,целое,,,,,,,,,,составное,количеств.,,,
Девяносто один,Морфи,Числительное,Международный телефонный код Индии — девяносто один.,сколько,девяностоодин,сказуемое.,,,м.р.,,,И.п.,целое,,,,,,,,,,составное,количеств.,,,
Двадцати двух тысяч,Морфи,Числительное,Человеческая жизнь в среднем составляет около двадцати двух тысяч дней.,скольких,двадцатьдветысячи,определение.,,,нет рода,,мн.ч.,Р.п.,целое,,,,,,,,,,составное,количеств.,,,
Первое,Морфи,Числительное,Россия занимает первое место по числу владельцев кошек.,"какоепосч,которое",первый,определение.,,,ср.р.,,ед.ч.,И.п.,,,,,,,,,,,простое,порядков.,,,
Вторым,сказка,Числительное,Глупый заяц всегда прибегал к финишу вторым.,"какимпосч,которым",второй,сказуемое.,,,м.р.,,ед.ч.,Т.п.,,,,,,,,,,,простое,порядков.,,,
Тридцать шестой,Морфи,Числительное,Прошу пройти вас в тридцать шестой кабинет.,"какойпосч,который",тридцатьшестой,определение.,,,м.р.,,ед.ч.,В.п.,,,,,,,,,,,составное,порядков.,,,
Четверо,Морфи,Числительное,"Все четверо малышей были по-своему особенными, но среди них выделялся мальчик Никита.",сколько,четверо,подлежащее.,,,нет рода,,,И.п.,собирательное,,,,,,,,,,простое,количеств.,,,
Трое,Морфи,Числительное,Эти трое — настоящие герои!,сколько,трое,подлежащее.,,,нет рода,,,И.п.,собирательное,,,,,,,,,,простое,количеств.,,,
Одну треть,Морфи,Числительное,"Она отрезала одну треть пирога себе, оставив продавца в замешательстве.",сколько,однатреть,дополнение.,,,ж.р.,,ед.ч.,В.п.,дробное,,,,,,,,,,составное,количеств.,,,
Семь целых две десятых,Морфи,Числительное,"Петю нисколько не смутило семь целых две десятых карася, когда он писал ответ к задаче.",сколько,семьцелыхдведесятых,подлежащее.,,,нет рода,,,И.п.,дробное,,,,,,,,,,составное,количеств.,,,
Ноль,Морфи,Числительное,"Когда разряд переполняется, то на его месте мы пишем ноль и прибавляем единицу к следующему разряду.",сколько,ноль,сказуемое.,,,м.р.,,ед.ч.,И.п.,целое,,,,,,,,,,простое,количеств.,,,
Семнадцать,Морфи,Числительное,Часы спешили на семнадцать минут.,сколько,семнадцать,обстоятельство.,,,нет рода,,,И.п.,целое,,,,,,,,,,составное,количеств.,,,
Сто четырнадцатая,Морфи,Числительное,Сто четырнадцатая страница в книге была почему-то вырвана.,"какаяпосч,которая",сточетырнадцать,определение.,,,ж.р.,,ед.ч.,И.п.,,,,,,,,,,,составное,порядков.,,,
Проезжающих,Н. В. Гоголь,Причастие,"Покамест ему подавались разные обычные в трактирах блюда, как то: щи с слоёным пирожком, нарочно сберегаемым для проезжающих в течение нескольких неделей, мозги с горошком, сосиски с капустой, пулярка жареная, огурец солёный и вечный слоёный сладкий пирожок, всегда готовый к услугам, он заставил слугу, или полового, рассказывать всякий вздор о том, кто содержал прежде трактир и кто теперь, и много ли даёт дохода, и большой ли подлец их хозяин; на что половой, по обыкновению, отвечал: «О, большой, сударь, мошенник».","каких,делающих",проезжающий,дополнение.,,,м.р.,,ед.ч.,Р.п.,,полн.ф.,,несов.,невозвр.,,,,наст. вр.,,,,действ.,,
Огороженный,А. П. Чехов,Причастие,"Этот дом назывался постоялым двором, хотя возле него никакого двора не было и стоял он посреди степи, ничем не огороженный.",какой,огороженный,сказуемое.,,,м.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Поставленная,А. П. Чехов,Причастие,"В садике трещала маленькая мельничка, поставленная для того, чтобы пугать стуком зайцев.",какая,поставленный,определение.,,,ж.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Размахивавшая,А. П. Чехов,Причастие,"Едва бричка остановилась около крылечка с навесом, как в доме послышались радостные голоса — один мужской, другой женский, — завизжала дверь на блоке, и около брички в одно мгновение выросла высокая тощая фигура, размахивавшая руками и фалдами.","какая,делавшая",размахивавший,определение.,,,ж.р.,,ед.ч.,И.п.,,полн.ф.,,несов.,возвр.,,,,прош. вр.,,,,действ.,,
Обведённым,И. Л. Андроников,Причастие,"Мы сбежали, наконец, в слышимый мир, на каменистое русло пенистой, шумной Арагвы, к малолюдным осетинским селениям, обведённым оградами из плоских камней.",каким,обведённый,определение.,,,ср.р.,,ед.ч.,Т.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Размахивающего,А. П. Чехов,Причастие,"Сначала, далеко впереди, где небо сходится с землёю, около курганчиков и ветряной мельницы, которая издали похожа на маленького человечка, размахивающего руками, поползла по земле широкая ярко-жёлтая полоса; через минуту такая же полоса засветилась несколько ближе, поползла вправо и охватила холмы; что-то тёплое коснулось Егорушкиной спины, полоса света, подкравшись сзади, шмыгнула через бричку и лошадей, понеслась навстречу другим полосам, и вдруг вся широкая степь сбросила с себя утреннюю полутень, улыбнулась и засверкала росой.","какого,делающего",размахивавший,определение.,,,м.р.,,ед.ч.,Р.п.,,полн.ф.,,несов.,возвр.,,,,наст. вр.,,,,действ.,,
Побуревшее,А. П. Чехов,Причастие,"Сжатая рожь, бурьян, молочай, дикая конопля — всё, побуревшее от зноя, рыжее и полумёртвое, теперь омытое росою и обласканное солнцем, оживало, чтоб вновь зацвести.","какое,сделавшее",побуревший,определение.,,,ср.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,действ.,,
Омытое,А. П. Чехов,Причастие,"Сжатая рожь, бурьян, молочай, дикая конопля — всё, побуревшее от зноя, рыжее и полумёртвое, теперь омытое росою и обласканное солнцем, оживало, чтоб вновь зацвести.",какое,омытый,определение.,,,ср.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Обласканное,А. П. Чехов,Причастие,"Сжатая рожь, бурьян, молочай, дикая конопля — всё, побуревшее от зноя, рыжее и полумёртвое, теперь омытое росою и обласканное солнцем, оживало, чтоб вновь зацвести.",какое,обласканный,определение.,,,ср.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Испуганное,А. П. Чехов,Причастие,"Стадо куропаток, испуганное бричкой, вспорхнуло и со своим мягким «тррр» полетело к холмам.",какое,испуганный,определение.,,,ср.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Обманутая,А. П. Чехов,Причастие,"Но прошло немного времени, роса испарилась, воздух застыл, и обманутая степь приняла свой унылый июльский вид.",какая,обманутый,определение.,,,ж.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Оцепеневшими,А. П. Чехов,Причастие,"Загорелые холмы, буро-зелёные, вдали лиловые, со своими покойными, как тень, тонами, равнина с туманной далью и опрокинутое над ними небо, которое в степи, где нет лесов и высоких гор, кажется страшно глубоким и прозрачным, представлялись теперь бесконечными, оцепеневшими от тоски…","какими,сделавшими",оцепеневший,определение.,,,м.р.,,ед.ч.,Т.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,действ.,,
Заброшенных,О. Э. Мандельштам,Причастие,"Среди лесов, унылых и заброшенных, пусть остаётся хлеб в полях нескошенным!",каких,заброшенный,определение.,,,м.р.,,ед.ч.,Р.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Подосланный,М. Ю. Лермонтов,Причастие,"Слеза, которая не раз рвалась блеснуть перед тобой, уж не придёт, как этот час, на смех, подосланный судьбой.",какой,подосланный,определение.,,,м.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Обвеянный,"С. Я, Надсон",Причастие,"Всю ночь пробродил я, всю ночь до рассвета, обвеянный чарами неги и грёз…",какой,обвеянный,определение.,,,м.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Прикованный,"К. М, Фофанов",Причастие,"Но к ней прикованный случайно, я не свожу с неё очей…",какой,прикованный,определение.,,,м.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Заброшенный,С. А. Есенин,Причастие,"Край ты мой заброшенный, край ты мой, пустырь.",какой,заброшенный,определение.,,,м.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Раздушенный,М. Ю. Лермонтов,Причастие,"Вот, в полуфрачке, раздушенный, времён новейших Митрофан, нетесаный, недоученный, а уж безнравственный болван.",какой,раздушенный,определение.,,,м.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Растопленный,А. С. Пушкин,Причастие,"Уж перстня верного утратя впечатленье, растопленный сургуч кипит…",какой,растопленный,определение.,,,м.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Брошенное,Ф. И. Тютчев,Причастие,Брала знакомые листы и чудно так на них глядела — как души смотрят с высоты на ими брошенное тело…,какое,брошенный,определение.,,,ср.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Стриженная,"Ф, А. Абрамов",Причастие,"Надежда Михайловна, а лучше сказать — Наденька, потому что в свои девятнадцать лет — худенькая, смуглая, по-мальчишески стриженная — она больше походила на школьницу, чем на учительницу, медленно поднялась в пекашинскую гору, с тоской поглядела на пустынную песчаную улицу, на немые, будто вымершие дома.",какая,стриженный,определение.,,,ж.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Вымершие,"Ф, А. Абрамов",Причастие,"Надежда Михайловна, а лучше сказать — Наденька, потому что в свои девятнадцать лет — худенькая, смуглая, по-мальчишески стриженная — она больше походила на школьницу, чем на учительницу, медленно поднялась в пекашинскую гору, с тоской поглядела на пустынную песчаную улицу, на немые, будто вымершие дома.","какие,сделавшие",вымерший,определение.,,,,,мн.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,действ.,,
Завязанных,К. Г. Паустовский,Причастие,"Мы рассматривали сотни горных пород, то завязанных в узлы, то падавших волнистыми пластами, то свисавших над головой квадратными плитами.",каких,завязанный,определение.,,,,,мн.ч.,Р.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Наполненный,К. Г. Паустовский,Причастие,"Зеленоватый сумрачный воздух, наполненный солнечным дымом и жёлтыми отсветами скал, струился над ними.",какой,наполненный,определение.,,,м.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Покрытые,К. Г. Паустовский,Причастие,"В Мещёрском крае можно увидеть лесные озёра с тёмной водой, обширные болота, покрытые ольхой и осиной, одинокие, обугленные от старости избы лесников.",какие,покрытый,определение.,,,,,мн.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Испечённого,К. Г. Паустовский,Причастие,Из деревни изредка доносился запах только что испечённого черного хлеба.,какого,"испечённый,испеченный",определение.,,,м.р.,,ед.ч.,Р.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Закованный,А. А. Блок,Причастие,"И, страстной близостью закованный, смотрю на тёмную вуаль и вижу берег очарованный и очарованную даль.",какой,закованный,определение.,,,м.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Очарованный,А. А. Блок,Причастие,"И, страстной близостью закованный, смотрю на тёмную вуаль и вижу берег очарованный и очарованную даль.",какой,очарованный,определение.,,,м.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Заросшая,К. Г. Паустовский,Причастие,"Сквозь сумрак, всегда присутствующий под сводоами старых деревьев, вдруг откроется поляна, заросшая блестящими лютиками,  и пруд с тихой водой.",какая,заросший,определение.,,,ж.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,действ.,,
Присутствующий,К. Г. Паустовский,Причастие,"Сквозь сумрак, всегда присутствующий под сводоами старых деревьев, вдруг откроется поляна, заросшая блестящими лютиками,  и пруд с тихой водой.","какой,делающий",присутствующий,определение.,,,м.р.,,ед.ч.,И.п.,,полн.ф.,,несов.,невозвр.,,,,наст. вр.,,,,действ.,,
Обеспокоенные,К. Г. Паустовский,Причастие,"На западе ещё тлеет заря, в зарослях волчьих ягод кричист выпь, на мшарах бормочут и возятся журавли, обеспокоенные дымом костра.",какие,обеспокоенный,определение.,,,,,мн.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Висевших,А. И. Куприн,Причастие,"Из красивых ваз, висевших в воздухе между деревьями, спускались гирляндами вниз вьющиеся растения.",каких,висевший,определение.,,,,,мн.ч.,Р.п.,,полн.ф.,,несов.,невозвр.,,,,прош. вр.,,,,действ.,,
Вьющиеся,А. И. Куприн,Причастие,"Из красивых ваз, висевших в воздухе между деревьями, спускались гирляндами вниз вьющиеся растения.","какие,делающие",вьющийся,определение.,,,,,мн.ч.,И.п.,,полн.ф.,,несов.,возвр.,,,,наст. вр.,,,,действ.,,
Блестящих,А. И. Куприн,Причастие,"Перед домом, на мраморных столбцах, стояли два блестящих шара, в которых странствующая труппа отразилась вверх ногами, в смешном изогнутом и растянутом виде.","каких,делающих",блестящий,определение.,,,,,мн.ч.,Р.п.,,полн.ф.,,несов.,невозвр.,,,,наст. вр.,,,,действ.,,
Странствующая,А. И. Куприн,Причастие,"Перед домом, на мраморных столбцах, стояли два блестящих шара, в которых странствующая труппа отразилась вверх ногами, в смешном изогнутом и растянутом виде.","какая,делающая",странствующий,определение.,,,ж.р.,,ед.ч.,И.п.,,полн.ф.,,несов.,возвр.,,,,наст. вр.,,,,действ.,,
Ведущую,А. И. Куприн,Причастие,"Беззвучно проскользнул Сергей в деревянную калитку, ведущую в парк.","какую,делающую",ведущий,определение.,,,ж.р.,,ед.ч.,В.п.,,полн.ф.,,несов.,невозвр.,,,,наст. вр.,,,,действ.,,
Составляющие,А. И. Куприн,Причастие,"Изящные чугунные завитки, составляющие рисунок ворот, служили верными точками опоры для цепких маленьких мускулистых ног.","какие,делающие",составляющий,определение.,,,,,мн.ч.,И.п.,,полн.ф.,,несов.,невозвр.,,,,наст. вр.,,,,действ.,,
Раскалённых,"В. В, Баныкин",Причастие,Под ведёрком высилась груда раскалённых углей с меняющимися оттенками.,каких,"раскалённый,раскаленный",определение.,,,,,мн.ч.,Р.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Меняющимися,"В. В, Баныкин",Причастие,Под ведёрком высилась груда раскалённых углей с меняющимися оттенками.,"какими,делающими",меняющийся,определение.,,,,,мн.ч.,Т.п.,,полн.ф.,,несов.,возвр.,,,,наст. вр.,,,,действ.,,
Дымящуюся,"В. В, Баныкин",Причастие,Володя выловил ложкой дымящуюся паром картофелину.,"какую,делающую",дымящийся,определение.,,,ж.р.,,ед.ч.,В.п.,,полн.ф.,,несов.,возвр.,,,,наст. вр.,,,,действ.,,
Закопчённой,"В. В, Баныкин",Причастие,"Ведёрко было снято с закопчённой, обуглившейся палки.",какой,"закопчённый,закопченный",определение.,,,ж.р.,,ед.ч.,Т.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Обуглившейся,"В. В, Баныкин",Причастие,"Ведёрко было снято с закопчённой, обуглившейся палки.","какой,сделавшей",обуглившийся,определение.,,,ж.р.,,ед.ч.,Р.п.,,полн.ф.,,соверш.,возвр.,,,,прош. вр.,,,,действ.,,
Потрескавшейся,"В. В, Баныкин",Причастие,"Володя доставал из ведёрка горячие картофелины с потрескавшейся кожицей и разбрасывал их по мешку, чтобы они остывали.","какой,сделавшей",потрескавшийся,определение.,,,ж.р.,,ед.ч.,Т.п.,,полн.ф.,,соверш.,возвр.,,,,прош. вр.,,,,действ.,,
Излучающих,"В. В, Баныкин",Причастие,"Небо было всё в звёздах, излучающих ровный, тихий свет.","каких,делающих",излучающий,определение.,,,,,мн.ч.,Р.п.,,полн.ф.,,несов.,невозвр.,,,,наст. вр.,,,,действ.,,
Поросший,"В. В, Баныкин",Причастие,"Иван предложил взобраться на невысокий глинистый бугор, поросший кустарником, и посмотреть на реку.","какой,сделавший",поросший,определение.,,,м.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,действ.,,
Потухшему,"В. В, Баныкин",Причастие,Потом они вернулись к потухшему костру и начали укладываться спать.,"какому,сделавшему",потухший,определение.,,,м.р.,,ед.ч.,Д.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,действ.,,
Приглушённые,"В. В, Баныкин",Причастие,"Изредка доносились ночные шорохи и звуки, приглушённые лесом.",какие,"приглушённый,приглушенный",определение.,,,,,мн.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Сбежавшиеся,Л. А. Кассиль,Причастие,"Вокруг дуба толпились ребята, сбежавшиеся с соседних дворов.","какие,сделавшие",сбежавшийся,определение.,,,,,мн.ч.,И.п.,,полн.ф.,,соверш.,возвр.,,,,прош. вр.,,,,действ.,,
Изображавшие,Л. А. Кассиль,Причастие,"Они показывали пильщикам рисунки, изображавшие старый дворовый дуб, отягчённый густой кроной.","какие,делавшие",изображавший,определение.,,,,,мн.ч.,И.п.,,полн.ф.,,несов.,невозвр.,,,,прош. вр.,,,,действ.,,
Отягчённый,Л. А. Кассиль,Причастие,"Они показывали пильщикам рисунки, изображавшие старый дворовый дуб, отягчённый густой кроной.",какой,"отягчённый,отягченный",определение.,,,м.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Нанесённой,Л. А. Кассиль,Причастие,"Пользуясь тем, что они отошли, ребята поспешили выдернуть пилу из раны, нанесённой старому дереву.",какой,"нанесённый,нанесенный",определение.,,,ж.р.,,ед.ч.,Д.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Пропиленной,Л. А. Кассиль,Причастие,"Тогда пильщики нехотя поднялись, оставив пилу в пропиленной расщелине ствола.",какой,пропиленный,определение.,,,ж.р.,,ед.ч.,Т.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Поражённое,Л. А. Кассиль,Причастие,"Они решили положить пластырь, обвязать тяпками поражённое место и терпеливо ждать лета.",какое,"поражённый,пораженный",определение.,,,ср.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Перебинтованным,Л. А. Кассиль,Причастие,Дуб стоял с перебинтованным столом.,каким,перебинтованный,определение.,,,м.р.,,ед.ч.,Т.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Идущую,А. Н. Толстой,Причастие,Никита на цыпочках вышел в коридор и увидел важно идущую ему навстречу девочку в белом.,"какую,делающую",идущий,определение.,,,ж.р.,,ед.ч.,В.п.,,полн.ф.,,несов.,невозвр.,,,,наст. вр.,,,,действ.,,
Завязанной,А. Н. Толстой,Причастие,"Лиля была одета в белое платье с голубой шелковой лентой, завязанной сзади в большой бант",какой,завязанный,определение.,,,ж.р.,,ед.ч.,Т.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Сидящую,А. Н. Толстой,Причастие,"Девочка всё время смеялась, посматривая на огромную куклу, сидящую под елкой.","какую,делающую",сидящий,определение.,,,ж.р.,,ед.ч.,В.п.,,полн.ф.,,несов.,невозвр.,,,,наст. вр.,,,,действ.,,
Завёрнутые,А. Н. Толстой,Причастие,"Там же лежали бумажные пакеты с подарками, завёрнутые в разноцветные платки.",какие,завёрнутый,определение.,,,,,мн.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Надевший,А. Н. Толстой,Причастие,"Аркадий Иванович, надевший черный долгополый сюртук, и коробом стоявшую накрахмаленную рубашку, не знал, что ему делать.","какой,сделавший",надевший,определение.,,,м.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,действ.,,
Дрожащим,А. Н. Толстой,Причастие,"«А я одной рукой словарь поднимаю», — дрожащим от досады голосом проговорил Виктор.","каким,делающим",дрожащий,определение.,,,м.р.,,ед.ч.,Т.п.,,полн.ф.,,несов.,невозвр.,,,,наст. вр.,,,,действ.,,
Видавшем,Н. А. Некрасов,Причастие,"Я ехал один на стареньком, видавшем виды «Москвиче» и боялся, что за Уралом встретит меня выженная трава, тучи горько-солёной пыли и зной.","каким,делавшем",видавший,определение.,,,м.р.,,ед.ч.,П.п.,,полн.ф.,,несов.,невозвр.,,,,прош. вр.,,,,действ.,,
Выжженная,Н. А. Некрасов,Причастие,"Я ехал один на стареньком, видавшем виды «Москвиче» и боялся, что за Уралом встретит меня выженная трава, тучи горько-солёной пыли и зной.",какая,выжженный,определение.,,,ж.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,невозвр.,,,,прош. вр.,,,,страдат.,,
Стоявшие,Н. А. Некрасов,Причастие,"Суслики, стоявшие на часах, заслышав мотор, бросились в густую траву.","какие,делавшие",стоявший,определение.,,,,,мн.ч.,И.п.,,полн.ф.,,несов.,невозвр.,,,,прош. вр.,,,,действ.,,
Различимый,Н. А. Некрасов,Причастие,Вдруг на месте с прохладным ветерком донёсся откуда-то чуть различимый горький запах костра.,какой,различимый,определение.,,,м.р.,,ед.ч.,И.п.,,полн.ф.,,несов.,невозвр.,,,,наст. вр.,,,,страдат.,,
Приткнувшийся,Н. А. Некрасов,Причастие,"Широкий паром, приткнувшийся к берегу, казался морским чудовищем.","какой,сделавший",приткнувшийся,определение.,,,м.р.,,ед.ч.,И.п.,,полн.ф.,,соверш.,возвр.,,,,прош. вр.,,,,действ.,,
